"Months","Jan-2020","Feb-2020","Mar-2020","Apr-2020","May-2020","Jun-2020","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021"
"Retail Sales ($)","526930000000","525810000000","480407000000","409819000000","483980000000","526860000000","534295000000","538646000000","549528000000","550038000000","542583000000","535972000000","576466000000","559970000000","623119000000","628678000000","620214000000"
"    By Type",,,,,,,,,,,,,,,,,
"        Gas stations ($)","43195000000","41625000000","34677000000","26131000000","29480000000","34258000000","36164000000","36503000000","37009000000","37194000000","36473000000","39098000000","40895000000","42203000000","46453000000","45946000000","46282000000"
"        Health and personal care stores ($)","28872000000","29064000000","30492000000","25958000000","26251000000","28336000000","29811000000","29599000000","29972000000","29941000000","29550000000","29929000000","30204000000","29691000000","32081000000","32406000000","32979000000"
"        Motor vehicles and parts dealers ($)","105162000000","105520000000","78046000000","68198000000","100855000000","110574000000","109646000000","110195000000","114374000000","114247000000","112202000000","114447000000","120079000000","115742000000","135432000000","141222000000","135979000000"
"        Groceries and convenience stores ($)","65321000000","65326000000","82743000000","72048000000","73714000000","72538000000","72734000000","71780000000","71774000000","71191000000","72198000000","71382000000","72730000000","72343000000","72955000000","73494000000","74228000000"
"        Clothing stores ($)","22914000000","22560000000","11494000000","2836000000","8407000000","17712000000","18137000000","18579000000","21411000000","20766000000","19609000000","20095000000","21351000000","20180000000","25012000000","24521000000","25247000000"
"        Other ($)","167952000000","168112000000","144435000000","125375000000","148052000000","164855000000","170358000000","174220000000","174727000000","177269000000","173671000000","163145000000","184278000000","178820000000","196564000000","199048000000","198225000000"
"        Building material stores ($)","32920000000","32904000000","32810000000","32184000000","36149000000","36538000000","35662000000","36543000000","36676000000","36685000000","37002000000","37099000000","39996000000","38082000000","43458000000","42437000000","39933000000"
"        General merchandise stores ($)","60594000000","60699000000","65710000000","57089000000","61072000000","62049000000","61783000000","61227000000","63585000000","62745000000","61878000000","60777000000","66933000000","62909000000","71164000000","69604000000","67341000000"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,,"Census Bureau",,"https://www.census.gov/retail/index.html",,,
"Exported on: 07/06/2021"
